"","eDNA.D-value.Obs","eDNA.p_random","eDNA.p_brown","trawl.D-value.Obs","trawl.p_random","trawl.p_brown","eDNA.D-value.Obs.sd","eDNA.p_random.sd","eDNA.p_brown.sd","trawl.D-value.Obs.sd","trawl.p_random.sd","trawl.p_brown.sd"
"1",0.883653075646322,0.2564057,0.0014458,1.06155566490509,0.5926722,0.0024638,0.00615924640728961,0.0145013770554264,0.0012129342442804,0.00896891778253611,0.018050881712345,0.00159979545397196
"2",0.99965818592411,0.4824015,0.0001646,0.910939771427725,0.3152871,0.0062021,0.00737331762836725,0.0186748968652386,0.000404380009791814,0.0076396331315473,0.0164876152834718,0.00256809561767285
"3",0.888532128535475,0.2631776,0.0011017,0.678722500554331,0.0649893,0.0473641,0.00656522983611408,0.0151425885514598,0.00107157451313179,0.0102578035113444,0.00813875969979117,0.00746306243576259
"4",0.990852165767983,0.4629402,0.0002477,0.796314840159554,0.1647776,0.0280907,0.00674971829845088,0.0174161923604337,0.000497362490488312,0.00881618501754988,0.0126333407446265,0.005621533035869
"5",0.923588521066718,0.3265708,0.0007684,0.41420929610702,0.0050187,0.196281,0.00708714749381344,0.0172109212112802,0.000882518738572921,0.0172916012598185,0.0022339761357135,0.0165977163314335
"6",0.866460244915096,0.2247043,0.0011592,0.931967705600266,0.3506624,0.0041827,0.00557868142458242,0.0133448443226961,0.00107711251832743,0.00724619413637695,0.0164153700134132,0.00208637388921555
"7",0.865083798676236,0.2260543,0.0016176,0.6690154399304,0.0554574,0.0387585,0.00822116110119164,0.0162269554420504,0.00131557717916191,0.00996267558751435,0.00768095599183432,0.00683659649644223
"8",0.879389727846754,0.2447678,0.0008645,0.546044348689407,0.0459253,0.1884251,0.00598331563568655,0.014289482219108,0.000927483569976946,0.0156215874765589,0.00684043851444519,0.0145517478443841
"9",0.923854864235175,0.3237937,0.0004259,0.95904814643314,0.4036188,0.0119334,0.00584455749584161,0.0152156397131107,0.000655097019692907,0.0108515079445393,0.0206710816340507,0.00369244199044296
"10",0.952832019531424,0.3843617,0.0006287,0.512637120484879,0.013437,0.1189217,0.00679715401442694,0.017075228532964,0.000805171497330815,0.0139611770216344,0.00366354652724872,0.0127708996823979
"11",0.660190276133369,0.0372832,0.013427,0.528537740272115,0.0166648,0.1166115,0.00662535602517335,0.00601220528768284,0.00388450510850403,0.0152897252744136,0.00424481363598932,0.0130047406770767
"12",0.8833792324339,0.2506799,0.0007839,0.642863174357339,0.0426809,0.0432535,0.00568971151754677,0.0139455184105279,0.000896594210397213,0.00943120201400945,0.0064404676190718,0.00724189769730465
"13",0.852768535850931,0.2028501,0.0012136,0.782007720659049,0.1312611,0.0100575,0.00630834033969663,0.0135408480327692,0.00113053210935605,0.00854332948721618,0.0122828015334998,0.00333747024267822
"14",0.9048183152389,0.2903036,0.0007312,0.567867218184325,0.0256368,0.1015658,0.00648352995305079,0.0156556678884582,0.000845942150393387,0.0154082489326544,0.00566202186583219,0.012088138097667
"15",0.853574585265821,0.205534,0.0013607,0.759858673533468,0.124149,0.028898,0.00643148331870483,0.0137348865561706,0.00118166625724622,0.00894619185420419,0.0114511270987263,0.00565112285470351
